time,open,high,low,close,volume
2025-10-08 21:14:00,123077.4,123077.4,123077.3,123077.3,0.03123432
2025-10-08 21:15:00,123077.4,123112.9,123077.4,123112.9,0.12527023
2025-10-08 21:16:00,123112.9,123166.4,123112.8,123166.4,0.14381403
2025-10-08 21:17:00,123177.0,123177.0,123176.9,123177.0,0.00468657
2025-10-08 21:18:00,123177.0,123191.8,123176.9,123191.8,2.01532716
2025-10-08 21:19:00,123191.8,123191.8,123191.7,123191.8,0.01874522
2025-10-08 21:20:00,123191.8,123191.8,123176.9,123176.9,0.07567317
2025-10-08 21:21:00,123177.0,123177.0,123176.9,123177.0,0.02005241
2025-10-08 21:22:00,123177.0,123250.0,123177.0,123250.0,0.16590164
2025-10-08 21:23:00,123250.1,123252.0,123250.1,123252.0,0.08735057
2025-10-08 21:24:00,123251.9,123252.0,123251.9,123251.9,0.01441147
2025-10-08 21:25:00,123252.0,123252.0,123251.9,123252.0,0.05377973
2025-10-08 21:26:00,123252.0,123252.0,123251.9,123252.0,0.01215127
2025-10-08 21:27:00,123251.9,123319.7,123251.9,123319.7,0.3124052
2025-10-08 21:28:00,123319.6,123319.6,123297.1,123297.1,0.0568918
2025-10-08 21:29:00,123297.1,123297.1,123282.2,123282.3,0.03757432
2025-10-08 21:30:00,123293.1,123300.0,123293.0,123300.0,1.06655638
2025-10-08 21:31:00,123300.0,123300.0,123282.4,123300.0,2.05104609
2025-10-08 21:32:00,123300.0,123300.0,123299.9,123300.0,0.00996154
2025-10-08 21:33:00,123300.0,123300.0,123299.9,123300.0,0.10056153
2025-10-08 21:34:00,123299.9,123300.0,123299.9,123300.0,0.15998892
2025-10-08 21:35:00,123299.9,123300.0,123280.0,123280.1,0.09670321
2025-10-08 21:36:00,123280.0,123280.1,123280.0,123280.1,0.10245171
2025-10-08 21:37:00,123280.0,123280.1,123280.0,123280.1,0.00715942
2025-10-08 21:38:00,123280.1,123300.0,123280.0,123293.2,0.31400223
2025-10-08 21:39:00,123293.2,123293.2,123293.1,123293.2,0.08208181
2025-10-08 21:40:00,123293.2,123293.2,123282.0,123282.1,0.07749675
2025-10-08 21:41:00,123282.1,123282.1,123282.0,123282.1,0.02168284
2025-10-08 21:42:00,123282.1,123282.1,123282.0,123282.1,0.07717393
2025-10-08 21:43:00,123282.1,123290.1,123282.0,123290.0,0.12371951
2025-10-08 21:44:00,123290.1,123290.1,123290.0,123290.0,0.31108876
2025-10-08 21:45:00,123290.0,123290.1,123290.0,123290.1,0.05856743
2025-10-08 21:46:00,123290.1,123290.1,123290.0,123290.0,0.04381937
2025-10-08 21:47:00,123282.0,123282.0,123260.3,123260.3,0.16823569
2025-10-08 21:48:00,123260.3,123260.3,123251.9,123252.0,0.02980762
2025-10-08 21:49:00,123251.9,123251.9,123250.0,123250.1,0.15873467
2025-10-08 21:50:00,123250.1,123250.1,123250.0,123250.1,0.01599271
2025-10-08 21:51:00,123250.1,123250.1,123250.0,123250.1,0.03462644
