time,open,high,low,close,volume
2025-10-08 21:16:00,228.13,228.13,228.09,228.1,39.33537766
2025-10-08 21:17:00,228.14,228.14,228.01,228.01,3.63902397
2025-10-08 21:18:00,228.02,228.09,228.01,228.09,0.28911416
2025-10-08 21:19:00,228.1,228.1,228.03,228.03,30.42502666
2025-10-08 21:20:00,228.08,228.08,228.07,228.08,5.62378281
2025-10-08 21:21:00,228.08,228.2,228.08,228.2,203.709269
2025-10-08 21:22:00,228.19,228.29,228.19,228.29,0.71493543
2025-10-08 21:23:00,228.37,228.37,228.31,228.31,9.38332872
2025-10-08 21:24:00,228.28,228.35,228.28,228.34,5.43997653
2025-10-08 21:25:00,228.35,228.52,228.34,228.52,566.29939487
2025-10-08 21:26:00,228.51,228.59,228.51,228.59,9.04091382
2025-10-08 21:27:00,228.59,228.6,228.5,228.5,201.89774468
2025-10-08 21:28:00,228.51,228.51,228.19,228.19,6.55696407
2025-10-08 21:29:00,228.27,228.51,228.27,228.51,31.73516424
2025-10-08 21:30:00,228.51,228.57,228.47,228.49,139.70200632
2025-10-08 21:31:00,228.47,228.58,228.46,228.58,25.24820027
2025-10-08 21:32:00,228.58,228.59,228.58,228.58,3977.22689447
2025-10-08 21:33:00,228.59,228.59,228.59,228.59,70.21868914
2025-10-08 21:34:00,228.58,228.59,228.58,228.59,24444.14648145
2025-10-08 21:35:00,228.59,228.59,228.58,228.59,1193.29362839
2025-10-08 21:36:00,228.59,228.68,228.59,228.68,9782.28753531
2025-10-08 21:37:00,228.68,228.68,228.67,228.68,140.53769961
2025-10-08 21:38:00,228.68,229.0,228.68,228.99,126.16026443
2025-10-08 21:39:00,228.96,229.0,228.96,229.0,4.01365654
2025-10-08 21:40:00,229.0,229.0,228.99,229.0,3.07486352
2025-10-08 21:41:00,229.0,229.0,228.82,228.82,47.0652507
2025-10-08 21:42:00,228.82,228.82,228.81,228.82,7.11755975
2025-10-08 21:43:00,228.82,228.82,228.68,228.68,28.37040369
2025-10-08 21:44:00,228.76,228.76,228.76,228.76,31.37926252
2025-10-08 21:45:00,228.75,228.76,228.51,228.51,40.13159569
2025-10-08 21:46:00,228.52,228.52,228.45,228.45,238.83646599
2025-10-08 21:47:00,228.44,228.44,228.42,228.43,6.9928521
2025-10-08 21:48:00,228.38,228.38,228.15,228.15,26.64093961
2025-10-08 21:49:00,228.16,228.16,228.0,228.04,35.98249321
2025-10-08 21:50:00,228.03,228.1,228.03,228.08,49.56802998
2025-10-08 21:51:00,228.21,228.21,228.12,228.12,3.0720068
2025-10-08 21:52:00,228.07,228.09,228.07,228.08,13.59172715
2025-10-08 21:53:00,228.09,228.09,228.0,228.0,5.52209015
2025-10-08 21:54:00,228.0,228.01,228.0,228.01,2.75401161
2025-10-08 21:55:00,228.01,228.27,228.0,228.21,94.86971961
2025-10-08 21:56:00,228.21,228.3,228.21,228.3,4.48191257
2025-10-08 21:57:00,228.29,228.29,228.25,228.25,3.06734341
2025-10-08 21:58:00,228.26,228.26,228.21,228.24,47.62258804
2025-10-08 21:59:00,228.32,228.55,228.31,228.55,4.8186496
2025-10-08 22:00:00,228.54,228.78,228.54,228.78,3.58834769
2025-10-08 22:01:00,228.78,228.9,228.62,228.9,56.1313631
