timestamp,equity,drawdown,risk,positions,loop_time,latency_ms
2025-10-07 11:01:40,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:01:51,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:02:01,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:02:12,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:02:23,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:02:33,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:02:44,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:02:54,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:03:05,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:03:16,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:03:26,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:03:37,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:03:47,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:03:58,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:04:08,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:04:19,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:04:30,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:04:40,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:04:51,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:05:01,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:05:12,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:05:23,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:05:33,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:05:44,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:05:54,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:06:05,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:06:16,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:06:26,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:06:37,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:06:47,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:06:58,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:07:09,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:07:19,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:07:30,1000.0,0.0,NORMAL,0,0.11,20.0
2025-10-07 11:07:40,1000.0,0.0,NORMAL,0,0.11,20.0
