time,open,high,low,close,vwap,volume,count
2025-10-09 00:02:00,118.63,118.63,118.63,118.63,118.63,11.33507578,4
2025-10-09 00:03:00,118.74,118.74,118.74,118.74,118.74,0.054,1
2025-10-09 00:04:00,118.75,118.76,118.75,118.75,118.75,1.36431173,4
2025-10-09 00:05:00,118.75,118.75,118.75,118.75,0.0,0.0,0
2025-10-09 00:06:00,118.65,118.65,118.65,118.65,118.65,4.94114258,5
2025-10-09 00:07:00,118.56,118.56,118.56,118.56,118.56,3.20049113,3
2025-10-09 00:08:00,118.52,118.53,118.52,118.53,118.52,12.61332522,2
2025-10-09 00:09:00,118.56,118.61,118.56,118.58,118.58,2.40099182,3
2025-10-09 00:10:00,118.58,118.58,118.57,118.57,118.57,1.58497473,2
2025-10-09 00:11:00,118.55,118.57,118.55,118.57,118.56,3.10844716,3
2025-10-09 00:12:00,118.57,118.57,118.57,118.57,0.0,0.0,0
2025-10-09 00:13:00,118.58,118.58,118.58,118.58,118.58,2.60407593,5
2025-10-09 00:14:00,118.58,118.58,118.58,118.58,118.58,1.62403585,2
2025-10-09 00:15:00,118.65,118.65,118.65,118.65,118.65,0.17552751,2
2025-10-09 00:16:00,118.65,118.65,118.65,118.65,118.65,0.4734514,1
2025-10-09 00:17:00,118.65,118.76,118.65,118.76,118.65,15.95206946,5
2025-10-09 00:18:00,118.76,118.91,118.76,118.9,118.89,30.89841395,11
2025-10-09 00:19:00,118.9,118.9,118.9,118.9,0.0,0.0,0
2025-10-09 00:20:00,118.98,119.04,118.98,119.03,119.02,0.41892755,3
2025-10-09 00:21:00,119.01,119.01,119.0,119.01,119.0,11.58843061,5
2025-10-09 00:22:00,119.01,119.16,119.01,119.16,119.05,6.51167034,6
2025-10-09 00:23:00,119.07,119.07,119.07,119.07,119.07,2.0,2
2025-10-09 00:24:00,119.04,119.05,118.94,118.94,119.02,15.42718525,3
2025-10-09 00:25:00,118.94,118.94,118.94,118.94,0.0,0.0,0
2025-10-09 00:26:00,118.82,118.82,118.73,118.73,118.77,23.67169866,8
2025-10-09 00:27:00,118.67,118.67,118.67,118.67,118.67,0.16937194,1
2025-10-09 00:28:00,118.61,118.61,118.61,118.61,118.61,37.4526008,2
2025-10-09 00:29:00,118.61,118.61,118.61,118.61,118.61,0.71858418,2
2025-10-09 00:30:00,118.61,118.61,118.61,118.61,0.0,0.0,0
2025-10-09 00:31:00,118.51,118.66,118.51,118.66,118.51,16.82126414,3
2025-10-09 00:32:00,118.56,118.56,118.55,118.55,118.55,1.69961018,3
2025-10-09 00:33:00,118.47,118.47,118.47,118.47,118.47,0.80747574,1
2025-10-09 00:34:00,118.47,118.47,118.47,118.47,0.0,0.0,0
2025-10-09 00:35:00,118.47,118.47,118.47,118.47,0.0,0.0,0
2025-10-09 00:36:00,118.47,118.47,118.47,118.47,0.0,0.0,0
2025-10-09 00:37:00,118.53,118.53,118.53,118.53,118.53,3.33129298,2
2025-10-09 00:38:00,118.52,118.53,118.52,118.53,118.52,4.15538601,5
2025-10-09 00:39:00,118.53,118.53,118.53,118.53,118.53,2.55860564,2
2025-10-09 00:40:00,118.57,118.64,118.57,118.64,118.62,13.19610799,3
2025-10-09 00:41:00,118.73,118.73,118.73,118.73,118.73,0.13864966,1
2025-10-09 00:42:00,118.76,118.8,118.74,118.78,118.74,22.98308484,7
2025-10-09 00:43:00,118.8,118.8,118.8,118.8,118.8,0.09953908,1
2025-10-09 00:44:00,118.66,118.66,118.66,118.66,118.66,0.15197022,1
2025-10-09 00:45:00,118.66,118.88,118.66,118.88,118.66,11.20409609,5
2025-10-09 00:46:00,118.88,118.88,118.88,118.88,0.0,0.0,0
2025-10-09 00:47:00,118.89,118.89,118.89,118.89,118.89,0.1,1
2025-10-09 00:48:00,118.89,118.89,118.89,118.89,0.0,0.0,0
2025-10-09 00:49:00,118.92,119.01,118.92,119.01,118.95,0.97705535,5
2025-10-09 00:50:00,119.05,119.05,119.05,119.05,119.05,7.84544309,1
2025-10-09 00:51:00,119.03,119.03,118.98,118.98,118.98,56.4338963,8
2025-10-09 00:52:00,119.05,119.16,119.05,119.15,119.07,7.08973367,3
2025-10-09 00:53:00,119.2,119.34,119.2,119.34,119.27,87.31562896,10
2025-10-09 00:54:00,119.24,119.24,119.06,119.06,119.18,0.24128405,2
2025-10-09 00:55:00,119.05,119.05,119.05,119.05,119.05,0.56104923,1
2025-10-09 00:56:00,119.05,119.05,119.05,119.05,119.05,16.68934038,2
2025-10-09 00:57:00,119.11,119.11,119.05,119.05,119.05,1.47352062,2
2025-10-09 00:58:00,119.05,119.05,119.04,119.04,119.04,0.38372976,2
2025-10-09 00:59:00,118.94,118.94,118.94,118.94,118.94,0.39268648,1
2025-10-09 01:00:00,118.89,118.98,118.89,118.98,118.97,4.27877055,3
2025-10-09 01:01:00,118.98,118.98,118.98,118.98,118.98,1.37479678,1
2025-10-09 01:02:00,118.92,118.92,118.92,118.92,118.92,0.74341049,1
