time,open,high,low,close,vwap,volume,count
2025-09-09 12:00:00,217.24,218.32,216.71,217.64,217.56,16934.22524990,924
2025-09-09 13:00:00,217.65,218.34,216.44,218.02,217.56,6828.54670810,1006
2025-09-09 14:00:00,218.02,218.47,213.48,215.59,215.51,31565.51171626,1922
2025-09-09 15:00:00,215.56,215.56,211.74,213.11,212.84,13110.55525721,1700
2025-09-09 16:00:00,213.10,214.81,213.05,214.23,214.12,11497.31666990,763
2025-09-09 17:00:00,214.23,215.65,214.09,214.90,214.88,8975.55270096,1413
2025-09-09 18:00:00,214.93,216.84,214.62,216.51,215.91,15556.00904281,829
2025-09-09 19:00:00,216.51,216.85,215.86,216.38,216.45,3137.25224477,571
2025-09-09 20:00:00,216.38,216.38,215.30,216.23,216.01,6934.63347340,677
2025-09-09 21:00:00,216.30,216.60,215.19,215.24,216.02,4672.62878825,480
2025-09-09 22:00:00,215.23,217.30,215.10,217.18,216.46,3583.46143494,562
2025-09-09 23:00:00,217.18,217.81,216.61,217.11,217.28,5691.38975388,493
2025-09-10 00:00:00,217.20,217.50,215.12,215.24,216.11,5494.07821224,704
2025-09-10 01:00:00,215.24,216.50,215.16,216.22,215.98,8597.35363156,989
2025-09-10 02:00:00,216.30,219.49,216.29,219.14,218.50,16888.15920532,1619
2025-09-10 03:00:00,219.15,219.46,218.11,219.11,218.86,9732.04198671,698
2025-09-10 04:00:00,219.18,219.18,217.89,218.38,218.46,4323.04861022,457
2025-09-10 05:00:00,218.40,219.14,217.90,218.53,218.44,10719.52726510,597
2025-09-10 06:00:00,218.47,219.54,218.18,219.07,219.13,8087.82891034,463
2025-09-10 07:00:00,219.16,222.83,219.15,222.28,221.07,32959.39947194,2397
2025-09-10 08:00:00,222.29,222.30,220.53,220.69,221.23,9465.55912875,1035
2025-09-10 09:00:00,220.70,221.14,220.00,220.46,220.65,10648.90456093,846
2025-09-10 10:00:00,220.46,220.47,219.02,220.04,220.03,11736.84264879,829
2025-09-10 11:00:00,220.05,220.41,219.02,220.25,219.84,4802.33034495,608
2025-09-10 12:00:00,220.23,224.66,219.89,223.40,222.95,36281.11137087,2159
2025-09-10 13:00:00,223.38,225.81,222.62,224.15,224.30,34610.84095861,2047
