time,open,high,low,close,vwap,volume,count
2025-10-07 00:00:00,4.4000,4.4103,4.4000,4.4103,4.4064,3018.34485852,13
2025-10-07 00:05:00,4.4117,4.4136,4.4114,4.4136,4.4124,54.35001584,4
2025-10-07 00:10:00,4.4050,4.4050,4.3910,4.3910,4.4009,319.79916059,8
2025-10-07 00:15:00,4.3920,4.3920,4.3887,4.3902,4.3897,465.72380170,4
2025-10-07 00:20:00,4.3898,4.3898,4.3810,4.3822,4.3831,186.06558173,6
2025-10-07 00:25:00,4.3829,4.3829,4.3829,4.3829,4.3829,0.28011654,1
2025-10-07 00:30:00,4.3869,4.3881,4.3825,4.3826,4.3861,1802.10200068,12
2025-10-07 00:35:00,4.3862,4.3869,4.3849,4.3849,4.3863,14.35675665,3
2025-10-07 00:40:00,4.3887,4.3948,4.3887,4.3942,4.3942,160.70392449,6
2025-10-07 00:45:00,4.3952,4.3952,4.3854,4.3866,4.3870,7.91454582,3
2025-10-07 00:50:00,4.3858,4.3858,4.3858,4.3858,4.3858,0.60000000,1
2025-10-07 00:55:00,4.3908,4.4125,4.3908,4.4125,4.3992,1921.13499212,23
2025-10-07 01:00:00,4.4103,4.4117,4.4096,4.4117,4.4106,38.89471487,7
2025-10-07 01:05:00,4.4164,4.4291,4.4164,4.4291,4.4194,1814.42543641,24
2025-10-07 01:10:00,4.4291,4.4318,4.4243,4.4267,4.4295,1557.67844358,20
2025-10-07 01:15:00,4.4243,4.4243,4.3939,4.3939,4.4070,1153.56973765,27
2025-10-07 01:20:00,4.3939,4.3964,4.3890,4.3958,4.3945,42.10344618,16
2025-10-07 01:25:00,4.3930,4.4089,4.3880,4.4089,4.4017,528.56464271,18
2025-10-07 01:30:00,4.4088,4.4088,4.3988,4.3997,4.4036,1265.70083539,8
2025-10-07 01:35:00,4.3971,4.4042,4.3943,4.4042,4.4015,153.66037896,9
2025-10-07 01:40:00,4.4048,4.4120,4.4048,4.4120,4.4095,386.20786900,10
2025-10-07 01:45:00,4.4090,4.4092,4.4056,4.4056,4.4089,67.64265140,5
2025-10-07 01:50:00,4.4022,4.4023,4.4022,4.4023,4.4022,117.00000000,2
2025-10-07 01:55:00,4.3989,4.3989,4.3983,4.3983,4.3985,7.35089430,2
2025-10-07 02:00:00,4.3985,4.3986,4.3985,4.3986,4.3985,8.13088298,3
2025-10-07 02:05:00,4.4020,4.4020,4.3951,4.3951,4.3988,42.56936657,3
2025-10-07 02:10:00,4.3971,4.3971,4.3952,4.3952,4.3966,9.52322775,2
2025-10-07 02:15:00,4.3952,4.3965,4.3943,4.3943,4.3952,177.49202850,7
2025-10-07 02:20:00,4.3905,4.3925,4.3893,4.3925,4.3901,121.93899213,5
2025-10-07 02:25:00,4.3925,4.3925,4.3925,4.3925,0.0000,0.00000000,0
2025-10-07 02:30:00,4.3925,4.3925,4.3925,4.3925,0.0000,0.00000000,0
2025-10-07 02:35:00,4.3829,4.3829,4.3738,4.3738,4.3813,821.01114145,4
2025-10-07 02:40:00,4.3758,4.3797,4.3758,4.3797,4.3790,11.82321027,4
2025-10-07 02:45:00,4.3811,4.3855,4.3811,4.3819,4.3843,59.06620997,12
2025-10-07 02:50:00,4.3782,4.3782,4.3740,4.3740,4.3743,20.67768485,5
2025-10-07 02:55:00,4.3768,4.3768,4.3768,4.3768,4.3768,4.50230713,1
2025-10-07 03:00:00,4.3750,4.3807,4.3750,4.3784,4.3775,5.83562096,3
2025-10-07 03:05:00,4.3802,4.3810,4.3790,4.3810,4.3792,62.00204587,5
2025-10-07 03:10:00,4.3815,4.3879,4.3815,4.3879,4.3853,27.76131369,8
2025-10-07 03:15:00,4.3858,4.3858,4.3814,4.3815,4.3817,3955.24110184,19
2025-10-07 03:20:00,4.3833,4.3838,4.3751,4.3751,4.3789,5212.61145244,30
